ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	LANGUAGE	LANGUAGE_IN_SOURCE	OID	ORDER	ORTHOGRAPHY	POS	PT_GLOSS	REFERENCE	SENSE_ID
35	trap	2014-04-09T17:02:49Z	2014-12-07T18:43:23Z	trap	yĕōpawín	5ff78e42-fbfc-4028-a9dd-0924fc8de310	ijc	ijc	jeopawin_5ff78e42-fbfc-4028-a9dd-0924fc8de310		jeopawin		tocaia		ac828e41-2b32-4c4e-9707-ec7dee4c72c9" order="1
36	eel	2014-04-09T18:15:46Z	2014-04-19T20:02:35Z	eel	nowí	6145dd2c-f872-463a-96d3-b0e5f7e2d067	ijc	ijc	nowi_6145dd2c-f872-463a-96d3-b0e5f7e2d067		nowi		puraqué		e6917d0c-cfd8-4e06-b9a7-1a639d62e1d8
37	soul of the deceases	2014-04-09T17:36:01Z	2014-04-19T20:29:09Z	soul of the deceases	u̥yam	61bd3296-05f6-4287-94ea-e0d0d9bdbb06	ijc	ijc	yjam_61bd3296-05f6-4287-94ea-e0d0d9bdbb06		yjam		alma de defunto		e50cfc51-78f0-43f0-a54b-aa94ae601e28
38	he	2014-04-09T19:01:10Z	2014-04-19T02:22:50Z	he	okáin	648a26d3-d740-4680-bcd1-463f50b8601b	ijc	ijc	okaɲ_648a26d3-d740-4680-bcd1-463f50b8601b		okaɲ		ele		7e5f68a1-0449-4d4a-a5aa-bed75e49f544
39	back	2014-04-09T16:35:20Z	2014-04-21T13:12:32Z	back	ĕrawa	64951c5e-db17-4cd4-9355-2b87b4a2c9e9	ijc	ijc	erawa_64951c5e-db17-4cd4-9355-2b87b4a2c9e9		erawa		costas		715253ea-5682-4c09-bf3b-e9361de7c64f
40	son	2014-04-09T17:39:22Z	2014-04-19T01:51:41Z	son	kayina	69606b32-7e7e-46e2-ac35-28fa0ad58cf8	ijc	ijc	kajina_69606b32-7e7e-46e2-ac35-28fa0ad58cf8		kajina		filho		bb0aba18-5b0c-426e-97eb-8f120f5a6945
41	3sg.pst	2014-04-13T15:23:27Z	2014-04-19T20:27:08Z	3sg.pst	na	698bea7c-e8ec-4421-abc9-fc795a2a46b5	ijc	ijc	=na_698bea7c-e8ec-4421-abc9-fc795a2a46b5		=na		3sg.pst		4e71aca9-8899-40b7-a678-5e7ce64501ae
42	banana	2014-04-09T18:22:23Z	2014-04-19T20:23:19Z	banana	miwá	69acf1f6-fe92-43f7-8cad-c95c72f5e9fe	ijc	ijc	miwa_69acf1f6-fe92-43f7-8cad-c95c72f5e9fe		miwa		banana		eb26a768-932f-416e-9b5b-82753bfe4fb1
43	cotton	2014-04-09T18:18:18Z	2014-04-19T20:06:09Z	cotton	u̥óm	6ac14885-cf26-4adb-8042-6bd5a3c81c26	ijc	ijc	yom_6ac14885-cf26-4adb-8042-6bd5a3c81c26		yom		algodão		9445b6a9-986e-4706-bbab-d41dfce3fe95
44	jaguar	2014-04-09T18:01:23Z	2014-04-19T02:12:49Z	jaguar	kinã́m	6c64f2c5-3ffb-4fb2-ab41-3feecf1ae5d9	ijc	ijc	kinam_6c64f2c5-3ffb-4fb2-ab41-3feecf1ae5d9		kinam		onça		02bf18b0-f213-4332-b0a0-2851b8e7e14f
45	guan	2014-04-09T18:04:20Z	2014-04-19T20:32:12Z	guan	pihu̥n	6cf8dee3-5d3e-4060-82ec-ac309cc88224	ijc	ijc	pihyn_6cf8dee3-5d3e-4060-82ec-ac309cc88224		pihyn		cujubim?		e5516347-76af-4690-86f1-20460a4f090c" order="1
46	parrot	2014-04-09T18:03:50Z	2014-04-19T02:01:53Z	parrot	turáu	6ef9e5ae-20a3-4eee-b591-b8227c590372	ijc	ijc	turaw_6ef9e5ae-20a3-4eee-b591-b8227c590372		turaw		papagaio		5700b320-269c-46f4-be9f-d31b2bfbca5a
47	nose	2014-04-09T16:30:56Z	2014-04-21T13:15:30Z	nose	yure	6f56d242-ee07-44c5-9523-c79d9d0da2fb	ijc	ijc	jure_6f56d242-ee07-44c5-9523-c79d9d0da2fb		jure		nariz		788d597f-cc8f-4258-a41f-1013bf555502
48	many	2014-04-09T18:45:10Z	2014-04-19T02:08:01Z	many	katimisám	6f871d21-0d7c-404a-8488-1a7260390841	ijc	ijc	katimisam_6f871d21-0d7c-404a-8488-1a7260390841		katimisam		muitos		461b117e-a33a-447c-a0a4-33cd1ca8d7b7
49	small	2014-04-13T15:38:23Z	2014-04-19T01:54:37Z	small	iamaĩ	6fc53bc6-072c-4eb0-a12b-7c1f245b9840	ijc	ijc	iamaɲ_6fc53bc6-072c-4eb0-a12b-7c1f245b9840		iamaɲ		pequeno		10f4b766-65cb-4ac3-bc5f-078ae2af27d1
50	hook	2014-04-09T17:26:08Z	2014-04-19T02:17:06Z	hook	piná	713e19b8-9332-4eeb-bd51-2b465aa5a7ee	ijc	ijc	pina_713e19b8-9332-4eeb-bd51-2b465aa5a7ee		pina		anzol		56ed0d6d-f396-4e3d-963d-ad41c30f1555
51	foot	2014-04-09T16:19:44Z	2014-04-21T13:07:59Z	foot	katima	7477ca34-1dfa-4b3e-90be-cbb2a2420d11	ijc	ijc	katima_7477ca34-1dfa-4b3e-90be-cbb2a2420d11		katima		pé		43e074ce-d595-4fd1-85fe-81e3d186b2a0
52	child	2014-04-09T17:28:17Z	2014-04-19T20:16:16Z	child	uhunyám	758501c8-f3f2-4686-a98d-adc097fd8c0c	ijc	ijc	uhunjam_758501c8-f3f2-4686-a98d-adc097fd8c0c		uhunjam		criança		a3311677-c06b-49c0-a531-09e12679c144
53	bench	2014-04-09T17:26:59Z	2014-04-19T20:22:32Z	bench	ĕruí	78e2d7e3-826f-48a8-9792-cf4d210ef1cf	ijc	ijc	erui_78e2d7e3-826f-48a8-9792-cf4d210ef1cf		erui		banco		b816cf6d-4639-40e5-bd5b-074c66c11aea
54	drink	2014-04-09T18:53:04Z	2014-04-19T20:03:40Z	drink	tok	78f1dd15-ce85-4e8c-b87e-a797b2c50959	ijc	ijc	tok_78f1dd15-ce85-4e8c-b87e-a797b2c50959		tok		beba		3dddec01-8ab8-473c-99b5-811d4d5cc8b6
55	skin	2014-04-09T16:28:45Z	2014-04-21T13:15:59Z	skin	tupări	79b0128a-8588-4a00-af9f-d57ff08cbaa2	ijc	ijc	tupari_79b0128a-8588-4a00-af9f-d57ff08cbaa2		tupari		pele		4a2c83d6-2aac-4562-b964-1252ca71dd01
56	pot	2014-04-09T17:19:52Z	2014-04-19T02:00:00Z	pot	erivǘn	7c9288f7-b42a-4d49-8ca6-a9c7611d9d62	ijc	ijc	erivün_7c9288f7-b42a-4d49-8ca6-a9c7611d9d62		erivün		panela		6423e7da-612e-4767-82a4-ae5f5b50f8b5
57	tooth	2014-04-09T16:12:11Z	2014-04-18T23:36:51Z	tooth	yeti	80a96c19-d0ba-48c5-bfe1-668ebe7ffa81	ijc	ijc	jeti_80a96c19-d0ba-48c5-bfe1-668ebe7ffa81		jeti		dente		f8c9af73-82c6-4d96-af3e-3f07f3619817
58	stick	2014-04-09T18:16:32Z	2014-04-19T01:49:10Z	stick	paná	85c1b4a2-b4d0-473e-8083-518f729586b9	ijc	ijc	pana_85c1b4a2-b4d0-473e-8083-518f729586b9		pana		pau		2ac9602b-b0ab-43ec-9d5b-182075c571ba
59	curassow	2014-04-09T17:01:14Z	2014-12-07T18:37:13Z	curassow	otín	86ff95e8-7d1c-420c-967a-ded5c405ad49	ijc	ijc	otin_86ff95e8-7d1c-420c-967a-ded5c405ad49		otin		mutum		967c794d-f754-46b2-8652-e075a4684c7e" order="1
60	blood	2014-04-09T16:29:33Z	2014-04-21T13:12:56Z	blood	wiki	88458199-46d7-42ba-9e75-e0387c11ff5a	ijc	ijc	wiki_88458199-46d7-42ba-9e75-e0387c11ff5a		wiki		sangue		90b836f5-da28-4141-81b3-4ac37aad53e6
61	ash	2014-04-09T17:08:54Z	2014-04-19T20:24:29Z	ash	murupatekón	89fe2e19-c770-4f18-b588-6c3d4f49d46d	ijc	ijc	murupatekon_89fe2e19-c770-4f18-b588-6c3d4f49d46d		murupatekon		cinza		393451af-4165-4c99-86cc-67a207411a33
62	white	2014-04-09T18:48:48Z	2014-04-18T23:27:17Z	white	katuá	8aa88b6a-f06d-4fb8-978b-87caa8363415	ijc	ijc	katua_8aa88b6a-f06d-4fb8-978b-87caa8363415		katua		branco		cb0290aa-d135-4418-af60-edaf8eed02c2
63	vulture	2014-04-09T18:03:24Z	2014-04-18T23:27:51Z	vulture	mu̥hu̥	8b5b8c89-7707-4929-86d1-0e84a230e1dc	ijc	ijc	myhy_8b5b8c89-7707-4929-86d1-0e84a230e1dc		myhy		urubu		8f4a01da-d843-4935-ad6d-7ccc6cf224d4
64	I	2014-04-09T18:57:44Z	2014-04-19T02:14:44Z	I	watá	8cc742bc-976e-49f9-9c62-581f36e9c98c	ijc	ijc	wata_8cc742bc-976e-49f9-9c62-581f36e9c98c		wata		eu		a0bbb436-1199-4ae8-a207-a3c1d738fe04
65	hair	2014-04-09T16:33:09Z	2014-04-21T13:14:42Z	hair	üpii	8ccd1316-d023-45c9-9761-d8e151e3305c	ijc	ijc	üpii_8ccd1316-d023-45c9-9761-d8e151e3305c		üpii		cabelo		6d2a114d-0914-4624-89a5-0990041b74ea
66	moon	2014-04-09T17:05:15Z	2014-04-19T02:07:39Z	moon	panaṓ	8d36636c-ece5-4d1e-922c-1f0b567798b0	ijc	ijc	panao_8d36636c-ece5-4d1e-922c-1f0b567798b0		panao		lua		0b43ac89-38bb-459b-9abb-6d278f3d9650
67	caiman	2014-04-09T18:14:07Z	2014-04-19T20:19:15Z	caiman	ahób	91a6c45c-2a14-4f24-a314-041df8f6ebc8	ijc	ijc	ahop_91a6c45c-2a14-4f24-a314-041df8f6ebc8		ahop		jacaré		014c77a5-3a5a-47ec-8f47-a54ec42c07ef
68	comb	2014-04-09T17:21:46Z	2014-04-19T20:13:32Z	comb	toá	93a78356-55a8-439a-af88-3044459d0ae2	ijc	ijc	toa2_93a78356-55a8-439a-af88-3044459d0ae2	2	toa		pente		efe43139-df7d-4417-b306-51cf0d7d7d01
69	eye	2014-04-09T16:14:44Z	2014-04-21T13:14:00Z	eye	tükĕ	9470d2d8-ae59-433c-b46a-667c0c2bfb95	ijc	ijc	tüke_9470d2d8-ae59-433c-b46a-667c0c2bfb95		tüke		olho		0cb34a7f-f4b7-4d64-998f-1d7396fbe39d
