# Wordlist

# DATA
ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	DOCULECT	LANGUAGE_IN_SOURCE	OID	ORDER	COUNTERPART	POS	PT_GLOSS	REFERENCE	SENSE_ID
207	big	2014-04-26T13:04:31Z	2014-04-26T13:05:00Z	big	u̥kádni	c31ff811-0c0b-4966-ad5a-bd1dee85f781	trz	en	ykáni_c31ff811-0c0b-4966-ad5a-bd1dee85f781		ykáni		grande		56f25f81-8dac-4764-9212-6e4c13420b76
#
85	bird	2014-04-08T13:28:49Z	2014-04-20T19:41:43Z	bird	umá̩	4a6f663b-89e0-475c-8a63-cf3581de4382	trz	trz	uma&apos;_4a6f663b-89e0-475c-8a63-cf3581de4382		uma'		passaro		0e8a74e3-7672-4444-a013-05d5de95104b
#
60	black	2014-04-25T14:30:13Z	2014-04-25T14:30:53Z	black	mo̩rém	3441ddd3-c13c-4c06-b4aa-a19ba376215f	trz	en	mo&apos;rem_3441ddd3-c13c-4c06-b4aa-a19ba376215f		mo'rem		preto		3900545a-60a3-47b9-8c5b-749b930e99ac
131	black	2014-04-07T17:38:12Z	2014-04-20T19:41:22Z	black	muré̩m	6f371437-094a-4d71-b4fd-4bb4021a23cd	trz	trz	mure&apos;m_6f371437-094a-4d71-b4fd-4bb4021a23cd		mure'm		preto		d544e973-625d-4c3b-85f5-3a4554b946d2
265	black	2014-04-25T14:29:04Z	2014-04-25T14:29:46Z	black	tuabni	f33f85bf-89a1-45de-97fe-a986bd4765fc	trz	en	tuabni_f33f85bf-89a1-45de-97fe-a986bd4765fc		tuabni		preto		f229d734-06da-4b76-9f01-3ea84a02d155
#
96	blood	2014-04-06T16:15:37Z	2014-04-20T19:40:46Z	blood	wį	50f3231f-149a-4586-b3cd-e5d49fa573ef	trz	trz	wi&apos;_50f3231f-149a-4586-b3cd-e5d49fa573ef		wi'		sangue		56b1e426-c0e7-48a7-b471-b5b5909bbb6a
#
199	bone	2014-04-06T15:31:58Z	2014-04-20T19:40:32Z	bone	at	bd15bfaf-4f43-4638-b7db-f9e85781c93b	trz	trz	at_bd15bfaf-4f43-4638-b7db-f9e85781c93b		at		osso		d3b71f8c-7bfc-4384-9660-0d2d5f448d37
#
178	bow	2014-04-06T20:13:41Z	2014-04-20T19:40:09Z	bow	parí	9f7d9708-27a6-460d-a3bf-2d120a70a9be	trz	trz	pari_9f7d9708-27a6-460d-a3bf-2d120a70a9be		pari		arco		813d7060-9ba1-4c04-8a34-8253cc810678
#
225	brocket deer	2014-04-08T13:19:40Z	2014-04-20T19:38:57Z	brocket deer	viyemóp	d0db5956-a07e-4f29-a458-3034d3a642b7	trz	trz	vijemop_d0db5956-a07e-4f29-a458-3034d3a642b7		vijemop		veado mateiro		696666ee-866c-4c66-9d2e-3742a81c6156
#
